parameter,mean,std
Mean Jitter,0.4186046511627915,
Jitter%,40.480449782775445,
Mean Shimmer,6.12856916849009,
Shimmer%,9.066710311225023,
F0_Cycles,1148.4833029316576,
F0_Spectrum,151.35135135135135,
F0_Autocorr,3027.0270270270266,
Open Quotient,0.9611111111111111,
Closing Quotient,0.4966666666666665,
Speed Quotient,inf,nan
Asymmetry Quotient,nan,
Rate Quotient,inf,nan
Amplitude Quotient,inf,nan
Speed Index,-0.006666666666667067,0.381475368523478
Glottal Gap Index,0.24938201261277868,0.2290705186978828
Stiffness,0.749951626173354,0.2954068980818075
Amplitude Symmetry Index,0.46213328412832766,0.2735143602032101
Phase Asymmetry Index,0.265494227994228,0.16305441716745916
